id,No,Timecode In,Timecode Out,Timecode IN(milliseconds),Timecode Out(milliseconds),Subtitle
_K5qApskPdQ.en.v,270,00:04:31:20,00:04:31:21,"00:04:31,830","00:04:31,840",here we go well oh dang he got out of
_K5qApskPdQ.en.v,271,00:04:31:21,00:04:34:19,"00:04:31,840","00:04:34,790",here we go well oh dang he got out of the<00:04:31.919><c> way</c>
_K5qApskPdQ.en.v,272,00:04:34:19,00:04:34:20,"00:04:34,790","00:04:34,800",
_K5qApskPdQ.en.v,273,00:04:34:20,00:04:38:21,"00:04:34,800","00:04:38,870",okay<00:04:35.040><c> he's</c><00:04:35.280><c> he's</c><00:04:35.520><c> gonna</c><00:04:35.680><c> be</c><00:04:35.919><c> yeah</c><00:04:36.160><c> yep</c><00:04:36.560><c> yep</c>
_K5qApskPdQ.en.v,274,00:04:38:21,00:04:38:22,"00:04:38,870","00:04:38,880",
_K5qApskPdQ.en.v,275,00:04:38:22,00:04:40:07,"00:04:38,880","00:04:40,310",get<00:04:39.040><c> out</c><00:04:39.120><c> of</c><00:04:39.199><c> here</c><00:04:39.440><c> please</c><00:04:39.680><c> i</c><00:04:39.759><c> pushed</c><00:04:40.000><c> him</c><00:04:40.080><c> away</c>
_K5qApskPdQ.en.v,276,00:04:40:07,00:04:40:08,"00:04:40,310","00:04:40,320",get out of here please i pushed him away
_K5qApskPdQ.en.v,277,00:04:40:08,00:04:41:20,"00:04:40,320","00:04:41,830",get out of here please i pushed him away so<00:04:40.479><c> the</c><00:04:40.560><c> pushing</c><00:04:40.880><c> away</c><00:04:41.199><c> is</c><00:04:41.360><c> actually</c><00:04:41.600><c> pretty</c>
_K5qApskPdQ.en.v,278,00:04:41:20,00:04:41:21,"00:04:41,830","00:04:41,840",so the pushing away is actually pretty
_K5qApskPdQ.en.v,279,00:04:41:21,00:04:42:23,"00:04:41,840","00:04:42,950",so the pushing away is actually pretty useful
_K5qApskPdQ.en.v,280,00:04:42:23,00:04:42:24,"00:04:42,950","00:04:42,960",useful
_K5qApskPdQ.en.v,281,00:04:42:24,00:04:44:13,"00:04:42,960","00:04:44,550",useful i'm<00:04:43.199><c> going</c><00:04:43.280><c> to</c><00:04:43.360><c> need</c><00:04:43.520><c> to</c><00:04:43.680><c> grab</c><00:04:43.919><c> a</c><00:04:44.000><c> heel</c><00:04:44.240><c> though</c>
_K5qApskPdQ.en.v,282,00:04:44:13,00:04:44:14,"00:04:44,550","00:04:44,560",i'm going to need to grab a heel though
_K5qApskPdQ.en.v,283,00:04:44:14,00:04:46:19,"00:04:44,560","00:04:46,790",i'm going to need to grab a heel though before<00:04:44.800><c> we</c><00:04:44.880><c> move</c><00:04:45.120><c> on</c>
_K5qApskPdQ.en.v,284,00:04:46:19,00:04:46:20,"00:04:46,790","00:04:46,800",before we move on
_K5qApskPdQ.en.v,285,00:04:46:20,00:04:49:00,"00:04:46,800","00:04:49,030",before we move on and<00:04:47.040><c> i</c><00:04:47.120><c> think</c><00:04:47.280><c> i'm</c><00:04:47.360><c> getting</c><00:04:47.680><c> just</c><00:04:47.919><c> casual</c><00:04:48.560><c> xp</c>
_K5qApskPdQ.en.v,286,00:04:49:00,00:04:49:01,"00:04:49,030","00:04:49,040",and i think i'm getting just casual xp
_K5qApskPdQ.en.v,287,00:04:49:01,00:04:50:01,"00:04:49,040","00:04:50,070",and i think i'm getting just casual xp upgrade<00:04:49.600><c> from</c><00:04:49.759><c> this</c>
_K5qApskPdQ.en.v,288,00:04:50:01,00:04:50:02,"00:04:50,070","00:04:50,080",upgrade from this
_K5qApskPdQ.en.v,289,00:04:50:02,00:04:52:02,"00:04:50,080","00:04:52,100",upgrade from this special<00:04:50.479><c> item</c><00:04:50.720><c> here</c>
_K5qApskPdQ.en.v,290,00:04:52:02,00:04:52:02,"00:04:52,100","00:04:52,110",special item here
_K5qApskPdQ.en.v,291,00:04:52:02,00:04:54:05,"00:04:52,110","00:04:54,230",special item here [Music]
_K5qApskPdQ.en.v,292,00:04:54:05,00:04:54:06,"00:04:54,230","00:04:54,240",[Music]
_K5qApskPdQ.en.v,293,00:04:54:06,00:04:55:22,"00:04:54,240","00:04:55,909",[Music] great<00:04:54.560><c> here</c><00:04:54.800><c> i'm</c><00:04:54.960><c> trying</c><00:04:55.280><c> i'm</c><00:04:55.440><c> trying</c><00:04:55.600><c> here</c><00:04:55.759><c> we</c>
_K5qApskPdQ.en.v,294,00:04:55:22,00:04:55:22,"00:04:55,909","00:04:55,919",great here i'm trying i'm trying here we
_K5qApskPdQ.en.v,295,00:04:55:22,00:05:02:13,"00:04:55,919","00:05:02,550",great here i'm trying i'm trying here we go
_K5qApskPdQ.en.v,296,00:05:02:13,00:05:02:14,"00:05:02,550","00:05:02,560",
_K5qApskPdQ.en.v,297,00:05:02:14,00:05:04:11,"00:05:02,560","00:05:04,469",just<00:05:02.960><c> i</c><00:05:03.199><c> mean</c><00:05:03.680><c> we're</c><00:05:03.840><c> not</c><00:05:04.000><c> going</c><00:05:04.080><c> to</c><00:05:04.160><c> win</c><00:05:04.320><c> this</c>
_K5qApskPdQ.en.v,298,00:05:04:11,00:05:04:11,"00:05:04,469","00:05:04,479",just i mean we're not going to win this
_K5qApskPdQ.en.v,299,00:05:04:11,00:05:08:03,"00:05:04,479","00:05:08,150",just i mean we're not going to win this and<00:05:04.639><c> let</c><00:05:04.880><c> you</c><00:05:04.960><c> got</c><00:05:05.120><c> to</c><00:05:05.199><c> back</c><00:05:05.440><c> up</c><00:05:05.520><c> my</c><00:05:05.680><c> dude</c>
_K5qApskPdQ.en.v,300,00:05:08:03,00:05:08:04,"00:05:08,150","00:05:08,160",
_K5qApskPdQ.en.v,301,00:05:08:04,00:05:11:14,"00:05:08,160","00:05:11,590",this<00:05:08.320><c> is</c><00:05:08.479><c> uh</c><00:05:08.639><c> this</c><00:05:08.880><c> isn't</c><00:05:09.120><c> great</c><00:05:11.120><c> i'm</c><00:05:11.360><c> at</c><00:05:11.440><c> the</c>
_K5qApskPdQ.en.v,302,00:05:11:14,00:05:11:15,"00:05:11,590","00:05:11,600",this is uh this isn't great i'm at the
_K5qApskPdQ.en.v,303,00:05:11:15,00:05:13:10,"00:05:11,600","00:05:13,430",this is uh this isn't great i'm at the bottom<00:05:11.840><c> row</c><00:05:12.160><c> zero</c><00:05:12.479><c> aura</c><00:05:12.720><c> is</c><00:05:12.800><c> here</c><00:05:12.960><c> now</c><00:05:13.120><c> finally</c>
_K5qApskPdQ.en.v,304,00:05:13:10,00:05:13:11,"00:05:13,430","00:05:13,440",bottom row zero aura is here now finally
_K5qApskPdQ.en.v,305,00:05:13:11,00:05:20:13,"00:05:13,440","00:05:20,550",bottom row zero aura is here now finally so<00:05:13.600><c> maybe</c><00:05:13.840><c> this</c><00:05:14.000><c> will</c><00:05:14.080><c> help</c>
_K5qApskPdQ.en.v,306,00:05:20:13,00:05:20:14,"00:05:20,550","00:05:20,560",
_K5qApskPdQ.en.v,307,00:05:20:14,00:05:23:14,"00:05:20,560","00:05:23,590",okay<00:05:20.800><c> here</c><00:05:20.960><c> we</c><00:05:21.039><c> go</c><00:05:21.120><c> here</c><00:05:21.280><c> we</c><00:05:21.360><c> go</c>
_K5qApskPdQ.en.v,308,00:05:23:14,00:05:23:15,"00:05:23,590","00:05:23,600",
_K5qApskPdQ.en.v,309,00:05:23:15,00:05:26:19,"00:05:23,600","00:05:26,790",okay<00:05:23.840><c> there's</c><00:05:24.000><c> another</c><00:05:24.240><c> zero</c><00:05:24.639><c> aura</c><00:05:26.400><c> okay</c><00:05:26.639><c> yeah</c>
_K5qApskPdQ.en.v,310,00:05:26:19,00:05:26:20,"00:05:26,790","00:05:26,800",okay there's another zero aura okay yeah
_K5qApskPdQ.en.v,311,00:05:26:20,00:05:28:11,"00:05:26,800","00:05:28,469",okay there's another zero aura okay yeah i<00:05:26.880><c> need</c><00:05:27.039><c> to</c><00:05:27.199><c> leave</c>
_K5qApskPdQ.en.v,312,00:05:28:11,00:05:28:11,"00:05:28,469","00:05:28,479",i need to leave
_K5qApskPdQ.en.v,313,00:05:28:11,00:05:30:21,"00:05:28,479","00:05:30,870",i need to leave wow<00:05:28.880><c> okay</c><00:05:29.039><c> so</c><00:05:29.199><c> we</c><00:05:29.360><c> were</c><00:05:29.520><c> all</c><00:05:29.759><c> pretty</c><00:05:30.000><c> injured</c><00:05:30.720><c> i</c>
_K5qApskPdQ.en.v,314,00:05:30:21,00:05:30:22,"00:05:30,870","00:05:30,880",wow okay so we were all pretty injured i
_K5qApskPdQ.en.v,315,00:05:30:22,00:05:31:20,"00:05:30,880","00:05:31,830",wow okay so we were all pretty injured i don't<00:05:30.960><c> know</c><00:05:31.120><c> what</c><00:05:31.199><c> kind</c><00:05:31.360><c> of</c><00:05:31.440><c> support</c><00:05:31.680><c> i'm</c>
_K5qApskPdQ.en.v,316,00:05:31:20,00:05:31:21,"00:05:31,830","00:05:31,840",don't know what kind of support i'm
_K5qApskPdQ.en.v,317,00:05:31:21,00:05:32:09,"00:05:31,840","00:05:32,390",don't know what kind of support i'm actually
_K5qApskPdQ.en.v,318,00:05:32:09,00:05:32:10,"00:05:32,390","00:05:32,400",actually
_K5qApskPdQ.en.v,319,00:05:32:10,00:05:34:21,"00:05:32,400","00:05:34,870",actually providing<00:05:32.880><c> because</c><00:05:33.840><c> i</c><00:05:33.919><c> don't</c><00:05:34.080><c> have</c><00:05:34.320><c> my</c><00:05:34.720><c> my</c>
_K5qApskPdQ.en.v,320,00:05:34:21,00:05:34:22,"00:05:34,870","00:05:34,880",providing because i don't have my my
_K5qApskPdQ.en.v,321,00:05:34:22,00:05:36:15,"00:05:34,880","00:05:36,629",providing because i don't have my my guard<00:05:35.120><c> swap</c><00:05:35.360><c> yeah</c><00:05:35.440><c> i</c><00:05:35.600><c> need</c><00:05:35.680><c> to</c><00:05:35.759><c> do</c><00:05:36.000><c> guard</c><00:05:36.240><c> swap</c>
_K5qApskPdQ.en.v,322,00:05:36:15,00:05:36:15,"00:05:36,629","00:05:36,639",guard swap yeah i need to do guard swap
_K5qApskPdQ.en.v,323,00:05:36:15,00:05:38:01,"00:05:36,639","00:05:38,070",guard swap yeah i need to do guard swap and<00:05:36.720><c> then</c><00:05:36.880><c> confusion</c><00:05:37.520><c> that's</c><00:05:37.680><c> what</c><00:05:37.840><c> it</c><00:05:37.919><c> needs</c>
_K5qApskPdQ.en.v,324,00:05:38:01,00:05:38:02,"00:05:38,070","00:05:38,080",and then confusion that's what it needs
_K5qApskPdQ.en.v,325,00:05:38:02,00:05:39:14,"00:05:38,080","00:05:39,590",and then confusion that's what it needs to<00:05:38.240><c> happen</c><00:05:38.479><c> next</c><00:05:38.800><c> guard</c><00:05:39.039><c> swap</c><00:05:39.360><c> and</c><00:05:39.440><c> then</c>
_K5qApskPdQ.en.v,326,00:05:39:14,00:05:39:15,"00:05:39,590","00:05:39,600",to happen next guard swap and then
_K5qApskPdQ.en.v,327,00:05:39:15,00:05:43:04,"00:05:39,600","00:05:43,189",to happen next guard swap and then confusion
_K5qApskPdQ.en.v,328,00:05:43:04,00:05:43:04,"00:05:43,189","00:05:43,199",
_K5qApskPdQ.en.v,329,00:05:43:04,00:05:45:20,"00:05:43,199","00:05:45,830",uh<00:05:43.440><c> oh</c><00:05:43.680><c> uh</c><00:05:43.840><c> oh</c><00:05:44.080><c> oh</c><00:05:44.240><c> oh</c><00:05:44.400><c> oh</c><00:05:45.440><c> get</c><00:05:45.600><c> him</c><00:05:45.680><c> out</c><00:05:45.759><c> of</c>
_K5qApskPdQ.en.v,330,00:05:45:20,00:05:45:21,"00:05:45,830","00:05:45,840",uh oh uh oh oh oh oh get him out of
_K5qApskPdQ.en.v,331,00:05:45:21,00:05:46:17,"00:05:45,840","00:05:46,710",uh oh uh oh oh oh oh get him out of there
_K5qApskPdQ.en.v,332,00:05:46:17,00:05:46:18,"00:05:46,710","00:05:46,720",there
_K5qApskPdQ.en.v,333,00:05:46:18,00:05:48:03,"00:05:46,720","00:05:48,150",there there<00:05:46.960><c> we</c><00:05:47.039><c> go</c><00:05:47.199><c> there</c><00:05:47.360><c> we</c><00:05:47.440><c> go</c><00:05:47.600><c> there</c><00:05:47.840><c> we</c><00:05:47.919><c> go</c><00:05:48.080><c> he</c>
_K5qApskPdQ.en.v,334,00:05:48:03,00:05:48:04,"00:05:48,150","00:05:48,160",there we go there we go there we go he
_K5qApskPdQ.en.v,335,00:05:48:04,00:05:49:15,"00:05:48,160","00:05:49,620",there we go there we go there we go he tried<00:05:48.320><c> to</c><00:05:48.560><c> he</c><00:05:48.639><c> tried</c><00:05:48.800><c> to</c><00:05:48.880><c> make</c><00:05:49.039><c> that</c>
_K5qApskPdQ.en.v,336,00:05:49:15,00:05:49:15,"00:05:49,620","00:05:49,630",tried to he tried to make that
_K5qApskPdQ.en.v,337,00:05:49:15,00:05:50:21,"00:05:49,630","00:05:50,870",tried to he tried to make that [Music]
_K5qApskPdQ.en.v,338,00:05:50:21,00:05:50:22,"00:05:50,870","00:05:50,880",[Music]
_K5qApskPdQ.en.v,339,00:05:50:22,00:05:55:14,"00:05:50,880","00:05:55,590",[Music] was<00:05:51.120><c> not</c><00:05:51.360><c> possible</c><00:05:51.680><c> though</c>
_K5qApskPdQ.en.v,340,00:05:55:14,00:05:55:15,"00:05:55,590","00:05:55,600",
_K5qApskPdQ.en.v,341,00:05:55:15,00:05:58:17,"00:05:55,600","00:05:58,710",okay<00:05:55.840><c> yeah</c><00:05:56.080><c> i</c><00:05:56.319><c> i'm</c><00:05:56.720><c> i'm</c><00:05:56.960><c> not</c><00:05:57.199><c> great</c><00:05:57.440><c> here</c><00:05:58.479><c> oh</c>
_K5qApskPdQ.en.v,342,00:05:58:17,00:05:58:18,"00:05:58,710","00:05:58,720",okay yeah i i'm i'm not great here oh
_K5qApskPdQ.en.v,343,00:05:58:18,00:06:01:18,"00:05:58,720","00:06:01,749",okay yeah i i'm i'm not great here oh geez
_K5qApskPdQ.en.v,344,00:06:01:18,00:06:01:18,"00:06:01,749","00:06:01,759",
_K5qApskPdQ.en.v,345,00:06:01:18,00:06:03:06,"00:06:01,759","00:06:03,270",i<00:06:01.919><c> need</c><00:06:02.080><c> to</c><00:06:02.240><c> back</c><00:06:02.479><c> up</c><00:06:02.639><c> dude</c><00:06:02.800><c> they're</c><00:06:03.039><c> coming</c>
_K5qApskPdQ.en.v,346,00:06:03:06,00:06:03:07,"00:06:03,270","00:06:03,280",i need to back up dude they're coming
_K5qApskPdQ.en.v,347,00:06:03:07,00:06:07:08,"00:06:03,280","00:06:07,350",i need to back up dude they're coming for<00:06:03.440><c> me</c><00:06:04.840><c> help</c>
_K5qApskPdQ.en.v,348,00:06:07:08,00:06:07:09,"00:06:07,350","00:06:07,360",for me help
_K5qApskPdQ.en.v,349,00:06:07:09,00:06:11:18,"00:06:07,360","00:06:11,749",for me help get<00:06:07.600><c> out</c><00:06:08.000><c> get</c><00:06:08.240><c> out</c>
_K5qApskPdQ.en.v,350,00:06:11:18,00:06:11:18,"00:06:11,749","00:06:11,759",
_K5qApskPdQ.en.v,351,00:06:11:18,00:06:13:10,"00:06:11,759","00:06:13,430",i'm<00:06:11.919><c> just</c><00:06:12.080><c> gonna</c><00:06:12.240><c> have</c><00:06:12.400><c> to</c><00:06:12.560><c> be</c><00:06:12.720><c> here</c><00:06:13.039><c> waiting</c>
_K5qApskPdQ.en.v,352,00:06:13:10,00:06:13:11,"00:06:13,430","00:06:13,440",i'm just gonna have to be here waiting
_K5qApskPdQ.en.v,353,00:06:13:11,00:06:16:01,"00:06:13,440","00:06:16,070",i'm just gonna have to be here waiting man<00:06:13.680><c> i'm</c><00:06:14.080><c> ready</c><00:06:14.240><c> to</c><00:06:14.400><c> score</c>
_K5qApskPdQ.en.v,354,00:06:16:01,00:06:16:02,"00:06:16,070","00:06:16,080",man i'm ready to score
_K5qApskPdQ.en.v,355,00:06:16:02,00:06:17:16,"00:06:16,080","00:06:17,670",man i'm ready to score this<00:06:16.319><c> is</c><00:06:16.400><c> a</c><00:06:16.479><c> tough</c><00:06:16.720><c> fight</c><00:06:17.039><c> man</c><00:06:17.280><c> this</c><00:06:17.440><c> is</c><00:06:17.600><c> a</c>
_K5qApskPdQ.en.v,356,00:06:17:16,00:06:17:17,"00:06:17,670","00:06:17,680",this is a tough fight man this is a
_K5qApskPdQ.en.v,357,00:06:17:17,00:06:20:23,"00:06:17,680","00:06:20,950",this is a tough fight man this is a tough<00:06:17.919><c> fight</c><00:06:18.840><c> indeed</c><00:06:19.919><c> i'm</c><00:06:20.160><c> ready</c><00:06:20.479><c> i'm</c><00:06:20.639><c> ready</c>
_K5qApskPdQ.en.v,358,00:06:20:23,00:06:20:24,"00:06:20,950","00:06:20,960",tough fight indeed i'm ready i'm ready
_K5qApskPdQ.en.v,359,00:06:20:24,00:06:26:11,"00:06:20,960","00:06:26,469",tough fight indeed i'm ready i'm ready let's<00:06:21.120><c> do</c><00:06:21.280><c> whatever</c><00:06:21.520><c> we</c><00:06:21.680><c> must</c><00:06:21.919><c> do</c>
_K5qApskPdQ.en.v,360,00:06:26:11,00:06:26:11,"00:06:26,469","00:06:26,479",
_K5qApskPdQ.en.v,361,00:06:26:11,00:06:28:15,"00:06:26,479","00:06:28,629",i'm<00:06:26.639><c> ready</c><00:06:26.880><c> to</c><00:06:27.039><c> fight</c><00:06:27.759><c> i</c><00:06:28.080><c> can't</c><00:06:28.240><c> get</c><00:06:28.400><c> close</c>
_K5qApskPdQ.en.v,362,00:06:28:15,00:06:28:15,"00:06:28,629","00:06:28,639",i'm ready to fight i can't get close
_K5qApskPdQ.en.v,363,00:06:28:15,00:06:32:07,"00:06:28,639","00:06:32,309",i'm ready to fight i can't get close enough<00:06:28.880><c> to</c><00:06:29.039><c> these</c><00:06:29.199><c> guys</c><00:06:29.520><c> man</c>
_K5qApskPdQ.en.v,364,00:06:32:07,00:06:32:07,"00:06:32,309","00:06:32,319",
_K5qApskPdQ.en.v,365,00:06:32:07,00:06:34:07,"00:06:32,319","00:06:34,309",there<00:06:32.560><c> we</c><00:06:32.639><c> go</c><00:06:32.800><c> we</c><00:06:32.880><c> got</c><00:06:33.039><c> one</c><00:06:33.360><c> there</c><00:06:33.520><c> we</c><00:06:33.680><c> go</c><00:06:34.080><c> maybe</c>
_K5qApskPdQ.en.v,366,00:06:34:07,00:06:34:07,"00:06:34,309","00:06:34,319",there we go we got one there we go maybe
_K5qApskPdQ.en.v,367,00:06:34:07,00:06:36:07,"00:06:34,319","00:06:36,309",there we go we got one there we go maybe even<00:06:34.560><c> two</c><00:06:35.039><c> so</c><00:06:35.280><c> guard</c><00:06:35.520><c> swaps</c><00:06:35.840><c> is</c><00:06:35.919><c> what</c><00:06:36.080><c> i</c><00:06:36.160><c> want</c>
_K5qApskPdQ.en.v,368,00:06:36:07,00:06:36:07,"00:06:36,309","00:06:36,319",even two so guard swaps is what i want
_K5qApskPdQ.en.v,369,00:06:36:07,00:06:38:17,"00:06:36,319","00:06:38,710",even two so guard swaps is what i want so<00:06:36.479><c> guard</c><00:06:36.800><c> swap</c><00:06:37.120><c> and</c><00:06:37.199><c> then</c><00:06:37.360><c> confusion</c>
_K5qApskPdQ.en.v,370,00:06:38:17,00:06:38:18,"00:06:38,710","00:06:38,720",so guard swap and then confusion
_K5qApskPdQ.en.v,371,00:06:38:18,00:06:41:10,"00:06:38,720","00:06:41,430",so guard swap and then confusion so<00:06:38.880><c> here</c><00:06:39.039><c> we</c><00:06:39.199><c> go</c><00:06:39.520><c> guard</c><00:06:39.759><c> swap</c><00:06:40.639><c> mist</c><00:06:41.039><c> but</c><00:06:41.280><c> i</c><00:06:41.360><c> can</c>
_K5qApskPdQ.en.v,372,00:06:41:10,00:06:41:11,"00:06:41,430","00:06:41,440",so here we go guard swap mist but i can
_K5qApskPdQ.en.v,373,00:06:41:11,00:06:49:06,"00:06:41,440","00:06:49,270",so here we go guard swap mist but i can still<00:06:41.600><c> hit</c><00:06:41.680><c> him</c><00:06:41.759><c> with</c><00:06:46.840><c> confusion</c>
_K5qApskPdQ.en.v,374,00:06:49:06,00:06:49:07,"00:06:49,270","00:06:49,280",still hit him with confusion
_K5qApskPdQ.en.v,375,00:06:49:07,00:06:52:03,"00:06:49,280","00:06:52,150",still hit him with confusion okay<00:06:49.520><c> i</c><00:06:49.599><c> need</c><00:06:49.759><c> to</c><00:06:49.919><c> leave</c><00:06:51.280><c> oh</c><00:06:51.520><c> man</c><00:06:51.680><c> he</c><00:06:51.840><c> grabbed</c>
_K5qApskPdQ.en.v,376,00:06:52:03,00:06:52:04,"00:06:52,150","00:06:52,160",okay i need to leave oh man he grabbed
_K5qApskPdQ.en.v,377,00:06:52:04,00:06:54:11,"00:06:52,160","00:06:54,469",okay i need to leave oh man he grabbed me<00:06:52.319><c> how</c><00:06:52.479><c> did</c><00:06:52.639><c> he</c><00:06:52.720><c> freaking</c><00:06:53.039><c> grab</c><00:06:53.360><c> me</c>
_K5qApskPdQ.en.v,378,00:06:54:11,00:06:54:11,"00:06:54,469","00:06:54,479",me how did he freaking grab me
_K5qApskPdQ.en.v,379,00:06:54:11,00:06:57:18,"00:06:54,479","00:06:57,749",me how did he freaking grab me i<00:06:54.720><c> so</c><00:06:54.960><c> i</c><00:06:55.199><c> already</c><00:06:55.680><c> got</c><00:06:55.919><c> out</c><00:06:56.080><c> of</c><00:06:56.160><c> the</c><00:06:56.319><c> way</c><00:06:57.440><c> and</c><00:06:57.599><c> he</c>
_K5qApskPdQ.en.v,380,00:06:57:18,00:06:57:18,"00:06:57,749","00:06:57,759",i so i already got out of the way and he
_K5qApskPdQ.en.v,381,00:06:57:18,00:06:59:02,"00:06:57,759","00:06:59,110",i so i already got out of the way and he like<00:06:57.919><c> grabbed</c><00:06:58.240><c> me</c><00:06:58.319><c> from</c><00:06:58.479><c> a</c><00:06:58.560><c> distance</c><00:06:58.880><c> that's</c>
_K5qApskPdQ.en.v,382,00:06:59:02,00:06:59:03,"00:06:59,110","00:06:59,120",like grabbed me from a distance that's
_K5qApskPdQ.en.v,383,00:06:59:03,00:07:00:19,"00:06:59,120","00:07:00,790",like grabbed me from a distance that's not<00:06:59.280><c> cool</c><00:06:59.520><c> man</c><00:06:59.840><c> that's</c><00:07:00.080><c> not</c><00:07:00.240><c> even</c>
_K5qApskPdQ.en.v,384,00:07:00:19,00:07:00:20,"00:07:00,790","00:07:00,800",not cool man that's not even
_K5qApskPdQ.en.v,385,00:07:00:20,00:07:02:19,"00:07:00,800","00:07:02,790",not cool man that's not even seeming<00:07:01.199><c> possible</c><00:07:01.919><c> do</c><00:07:02.080><c> we</c><00:07:02.240><c> literally</c><00:07:02.560><c> we</c><00:07:02.639><c> have</c>
_K5qApskPdQ.en.v,386,00:07:02:19,00:07:02:20,"00:07:02,790","00:07:02,800",seeming possible do we literally we have
_K5qApskPdQ.en.v,387,00:07:02:20,00:07:04:09,"00:07:02,800","00:07:04,390",seeming possible do we literally we have an<00:07:02.880><c> afk</c><00:07:03.440><c> is</c><00:07:03.599><c> that</c><00:07:03.680><c> the</c><00:07:03.840><c> reason</c><00:07:04.080><c> why</c><00:07:04.240><c> we're</c>
_K5qApskPdQ.en.v,388,00:07:04:09,00:07:04:10,"00:07:04,390","00:07:04,400",an afk is that the reason why we're
_K5qApskPdQ.en.v,389,00:07:04:10,00:07:05:12,"00:07:04,400","00:07:05,510",an afk is that the reason why we're losing
_K5qApskPdQ.en.v,390,00:07:05:12,00:07:05:13,"00:07:05,510","00:07:05,520",losing
_K5qApskPdQ.en.v,391,00:07:05:13,00:07:06:23,"00:07:05,520","00:07:06,950",losing i<00:07:05.680><c> can't</c><00:07:05.840><c> believe</c><00:07:06.080><c> we</c><00:07:06.160><c> have</c><00:07:06.240><c> an</c><00:07:06.319><c> afk</c><00:07:06.800><c> that's</c>
_K5qApskPdQ.en.v,392,00:07:06:23,00:07:06:24,"00:07:06,950","00:07:06,960",i can't believe we have an afk that's
_K5qApskPdQ.en.v,393,00:07:06:24,00:07:08:15,"00:07:06,960","00:07:08,629",i can't believe we have an afk that's just<00:07:07.280><c> horrible</c>
_K5qApskPdQ.en.v,394,00:07:08:15,00:07:08:15,"00:07:08,629","00:07:08,639",just horrible
_K5qApskPdQ.en.v,395,00:07:08:15,00:07:11:16,"00:07:08,639","00:07:11,670",just horrible horrible<00:07:09.199><c> very</c><00:07:09.440><c> rude</c>
_K5qApskPdQ.en.v,396,00:07:11:16,00:07:11:17,"00:07:11,670","00:07:11,680",horrible very rude
_K5qApskPdQ.en.v,397,00:07:11:17,00:07:14:20,"00:07:11,680","00:07:14,830",horrible very rude all<00:07:11.840><c> right</c><00:07:12.160><c> guard</c><00:07:12.400><c> swap</c><00:07:13.520><c> dang</c><00:07:13.759><c> it's</c><00:07:13.919><c> freaking</c>
_K5qApskPdQ.en.v,398,00:07:14:20,00:07:14:21,"00:07:14,830","00:07:14,840",all right guard swap dang it's freaking
_K5qApskPdQ.en.v,399,00:07:14:21,00:07:16:23,"00:07:14,840","00:07:16,950",all right guard swap dang it's freaking kite
_K5qApskPdQ.en.v,400,00:07:16:23,00:07:16:24,"00:07:16,950","00:07:16,960",kite
_K5qApskPdQ.en.v,401,00:07:16:24,00:07:21:24,"00:07:16,960","00:07:21,990",kite oh<00:07:17.120><c> my</c><00:07:17.280><c> god</c><00:07:17.520><c> guard</c><00:07:17.680><c> swap</c><00:07:19.919><c> confusion</c>
_K5qApskPdQ.en.v,402,00:07:21:24,00:07:22:00,"00:07:21,990","00:07:22,000",oh my god guard swap confusion
_K5qApskPdQ.en.v,403,00:07:22:00,00:07:25:06,"00:07:22,000","00:07:25,270",oh my god guard swap confusion i'm<00:07:22.160><c> just</c><00:07:22.319><c> gonna</c><00:07:22.479><c> wait</c><00:07:22.639><c> here</c><00:07:22.880><c> man</c>
_K5qApskPdQ.en.v,404,00:07:25:06,00:07:25:07,"00:07:25,270","00:07:25,280",
_K5qApskPdQ.en.v,405,00:07:25:07,00:07:30:15,"00:07:25,280","00:07:30,629",is<00:07:25.360><c> that</c><00:07:25.520><c> him</c><00:07:26.960><c> this</c><00:07:27.120><c> is</c><00:07:27.199><c> one</c><00:07:27.360><c> of</c><00:07:27.440><c> the</c><00:07:28.840><c> guys</c>
_K5qApskPdQ.en.v,406,00:07:30:15,00:07:30:15,"00:07:30,629","00:07:30,639",is that him this is one of the guys
_K5qApskPdQ.en.v,407,00:07:30:15,00:07:35:18,"00:07:30,639","00:07:35,749",is that him this is one of the guys so<00:07:31.039><c> this</c><00:07:31.280><c> is</c><00:07:31.440><c> bad</c><00:07:31.759><c> because</c>
_K5qApskPdQ.en.v,408,00:07:35:18,00:07:35:18,"00:07:35,749","00:07:35,759",
_K5qApskPdQ.en.v,409,00:07:35:18,00:07:38:05,"00:07:35,759","00:07:38,230",okay<00:07:36.000><c> i</c><00:07:36.080><c> just</c><00:07:36.240><c> have</c><00:07:36.319><c> to</c><00:07:36.400><c> heal</c><00:07:36.639><c> man</c><00:07:37.520><c> i</c><00:07:37.840><c> i</c><00:07:38.000><c> can't</c>
_K5qApskPdQ.en.v,410,00:07:38:05,00:07:38:06,"00:07:38,230","00:07:38,240",okay i just have to heal man i i can't
_K5qApskPdQ.en.v,411,00:07:38:06,00:07:39:10,"00:07:38,240","00:07:39,430",okay i just have to heal man i i can't do<00:07:38.400><c> these</c><00:07:38.560><c> one-on-one</c><00:07:38.960><c> fights</c><00:07:39.199><c> we</c><00:07:39.280><c> need</c>
_K5qApskPdQ.en.v,412,00:07:39:10,00:07:39:11,"00:07:39,430","00:07:39,440",do these one-on-one fights we need
